id,game,category,number,name,location,era,requirement,description
oot-heart-01,oot,coeur,1,Quart de cœur n°1,Cimetière Cocorico,Les deux,Chant du Soleil,"Ouvrez la 2e tombe à droite face à la tombe royale, affrontez le ReDead à l'intérieur (gelez-le avec le Chant du Soleil), puis rejouez le Chant du Soleil devant les marches pour faire apparaître le coffre."
oot-heart-02,oot,coeur,2,Quart de cœur n°2,Cimetière Cocorico,Les deux,Beaucoup de rubis,"Entre 18h et 21h, payez Dampé 10 rubis par essai pour son jeu de fouille dans la terre meuble. Le résultat est aléatoire, il faudra parfois plusieurs tentatives."
oot-heart-03,oot,coeur,3,Quart de cœur n°3,Ranch Lon Lon,Enfant,Aucune,"Dans la remise à l'arrière du ranch, déplacez les caisses pour dégager un trou dans le coin et rampez à l'intérieur."
oot-heart-04,oot,coeur,4,Quart de cœur n°4,Vallée Gerudo,Les deux,Aucune,Dans l'alcôve au centre de la grande cascade au nord. Nagez jusqu'à l'échelle avec l'aide d'un Cocorico (enfant) ou en sautant depuis le côté Gerudo du pont (adulte).
oot-heart-05,oot,coeur,5,Quart de cœur n°5,Vallée Gerudo,Les deux,Aucune,"Sur la plateforme avec une caisse, côté Gerudo du pont. Utilisez un Cocorico (enfant) ou le Grappin depuis le côté Hyrule (adulte) pour l'atteindre."
oot-heart-06,oot,coeur,6,Quart de cœur n°6,Lac Hylia,Enfant,Aucune,"À l'Étang de pêche, attrapez un poisson d'au moins 10 livres et montrez-le au pêcheur pour recevoir le quart de cœur."
oot-heart-07,oot,coeur,7,Quart de cœur n°7,Bois Perdus,Enfant,Ocarina Fée,"En entrant, allez à droite puis sautez dans la zone basse. Deux Skull Kids apparaissent : jouez à leur jeu de mémoire à l'ocarina et réussissez trois chants d'affilée."
oot-heart-08,oot,coeur,8,Quart de cœur n°8,Bois Perdus,Enfant,Chant de Saria,"En entrant, allez à gauche. Montez sur la souche et jouez le Chant de Saria pour le Skull Kid, qui vous récompense aussitôt."
oot-heart-09,oot,coeur,9,Quart de cœur n°9,Ruelle du Marché,Enfant,Nuit,"La nuit, ramenez le bon chien blanc (près de l'étal bleu) à Mamamu Yan dans la ruelle pour recevoir sa reconnaissance."
oot-heart-10,oot,coeur,10,Quart de cœur n°10,Cité Goron,Enfant,Bracelet Goron,Allumez toutes les torches de la cité (bâtons Deku ou Feu de Din). L'urne géante se met à tourner : lancez-y des bombes quand le visage vous sourit.
oot-heart-11,oot,coeur,11,Quart de cœur n°11,Cratère Montagne du Péril,Les deux,Aucune,"Au mur d'entrée du cratère, courez droit devant : Link se retourne et grimpe automatiquement vers l'alcôve. Autre solution : planter un Haricot Magique enfant et le chevaucher adulte."
oot-heart-12,oot,coeur,12,Quart de cœur n°12,Village Cocorico,Les deux,Aucune,"Grimpez sur le toit près de la maison d'Impa (via un Cocorico, le hibou, ou le Grappin en tant qu'adulte), puis entrez dans le trou du mur menant à la vache en cage."
oot-heart-13,oot,coeur,13,Quart de cœur n°13,Marché,Enfant,Bombes,"Au Bowling aux Bombchus, les prix défilent en boucle : Bombchu, quart de cœur, Bombes, Sac à Bombes, rubis violet. Visez le bon moment."
oot-heart-14,oot,coeur,14,Quart de cœur n°14,Plaine d'Hyrule,Enfant/Adulte,Bombes,"Près de l'entrée du Lac Hylia, posez une bombe au centre de l'enclos entouré de clôtures pour révéler un trou, puis achetez le quart de cœur au Mannequin des Bois pour 10 rubis."
oot-heart-15,oot,coeur,15,Quart de cœur n°15,Rivière Zora,Les deux,Aucune,"Sur le pilier central de la rivière : utilisez un Cocorico, le Boomerang (enfant) ou les Bottes Hover (adulte) pour l'atteindre."
oot-heart-16,oot,coeur,16,Quart de cœur n°16,Rivière Zora,Les deux,Aucune,"Près de la Cascade Insomniaque, à l'entrée du Domaine Zora. Mêmes méthodes que le quart de cœur précédent (Cocorico, Boomerang ou Bottes Hover)."
