id,game,category,number,name,location,era,requirement,description
oot-heart-01,oot,coeur,1,Quart de cœur n°1,Cimetière de Kakariko,Les deux,Chant du Soleil,"Ouvrez la 2e tombe à droite face à la tombe royale, affrontez le ReDead à l'intérieur (gelez-le avec le Chant du Soleil), puis rejouez le Chant du Soleil devant les marches pour faire apparaître le coffre."
oot-heart-02,oot,coeur,2,Quart de cœur n°2,Cimetière de Kakariko,Les deux,Beaucoup de rubis,"Entre 18h et 21h, payez Dampé 10 rubis par essai pour son jeu de fouille dans la terre meuble. Le résultat est aléatoire, il faudra parfois plusieurs tentatives."
oot-heart-03,oot,coeur,3,Quart de cœur n°3,Ranch Lon Lon,Enfant,Aucune,"Dans la remise à l'arrière du ranch, déplacez les caisses pour dégager un trou dans le coin et rampez à l'intérieur."
oot-heart-04,oot,coeur,4,Quart de cœur n°4,Vallée Gerudo,Les deux,Aucune,Dans l'alcôve au centre de la grande cascade au nord. Nagez jusqu'à l'échelle avec l'aide d'un Cocorico (enfant) ou en sautant depuis le côté Gerudo du pont (adulte).
oot-heart-05,oot,coeur,5,Quart de cœur n°5,Vallée Gerudo,Les deux,Aucune,"Sur la plateforme avec une caisse, côté Gerudo du pont. Utilisez un Cocorico (enfant) ou le Grappin depuis le côté Hyrule (adulte) pour l'atteindre."
oot-heart-06,oot,coeur,6,Quart de cœur n°6,Lac Hylia,Enfant,Aucune,"À l'Étang de pêche, attrapez un poisson d'au moins 10 livres et montrez-le au pêcheur pour recevoir le quart de cœur."
oot-heart-07,oot,coeur,7,Quart de cœur n°7,Bois Perdus,Enfant,Ocarina Fée,"En entrant, allez à droite puis sautez dans la zone basse. Deux Skull Kids apparaissent : jouez à leur jeu de mémoire à l'ocarina et réussissez trois chants d'affilée."
oot-heart-08,oot,coeur,8,Quart de cœur n°8,Bois Perdus,Enfant,Chant de Saria,"En entrant, allez à gauche. Montez sur la souche et jouez le Chant de Saria pour le Skull Kid, qui vous récompense aussitôt."
oot-heart-09,oot,coeur,9,Quart de cœur n°9,Ruelle du Marché,Enfant,Nuit,"La nuit, ramenez le bon chien blanc (près de l'étal bleu) à Mamamu Yan dans la ruelle pour recevoir sa reconnaissance."
oot-heart-10,oot,coeur,10,Quart de cœur n°10,Cité Goron,Enfant,Bracelet Goron,Allumez toutes les torches de la cité (bâtons Deku ou Feu de Din). L'urne géante se met à tourner : lancez-y des bombes quand le visage vous sourit.
oot-heart-11,oot,coeur,11,Quart de cœur n°11,Cratère Montagne du Péril,Les deux,Aucune,"Au mur d'entrée du cratère, courez droit devant : Link se retourne et grimpe automatiquement vers l'alcôve. Autre solution : planter un Haricot Magique enfant et le chevaucher adulte."
oot-heart-12,oot,coeur,12,Quart de cœur n°12,Village Cocorico,Les deux,Aucune,"Grimpez sur le toit près de la maison d'Impa (via un Cocorico, le hibou, ou le Grappin en tant qu'adulte), puis entrez dans le trou du mur menant à la vache en cage."
oot-heart-13,oot,coeur,13,Quart de cœur n°13,Marché,Enfant,Bombes,"Au Bowling aux Bombchus, les prix défilent en boucle : Bombchu, quart de cœur, Bombes, Sac à Bombes, rubis violet. Visez le bon moment."
oot-heart-14,oot,coeur,14,Quart de cœur n°14,Plaine d'Hyrule,Enfant/Adulte,Bombes,"Près de l'entrée du Lac Hylia, posez une bombe au centre de l'enclos entouré de clôtures pour révéler un trou, puis achetez le quart de cœur au Mannequin des Bois pour 10 rubis."
oot-heart-15,oot,coeur,15,Quart de cœur n°15,Rivière Zora,Les deux,Aucune,"Sur le pilier central de la rivière : utilisez un Cocorico, le Boomerang (enfant) ou les Bottes Hover (adulte) pour l'atteindre."
oot-heart-16,oot,coeur,16,Quart de cœur n°16,Rivière Zora,Les deux,Aucune,"Près de la Cascade Insomniaque, à l'entrée du Domaine Zora. Mêmes méthodes que le quart de cœur précédent (Cocorico, Boomerang ou Bottes Hover)."
oot-heart-17,oot,coeur,17,Quart de cœur n°17,Domaine Zora,Enfant,Aucune,"Allumez les 5 torches du domaine avec un bâton Deku, dont deux cachées derrière la cascade, pour faire apparaître un grand coffre."
oot-heart-18,oot,coeur,18,Quart de cœur n°18,Cimetière,Les deux,Haricot Magique,"Plantez un Haricot Magique dans la terre meuble à gauche du cimetière (enfant), puis revenez adulte pour chevaucher la pousse jusqu'à une caisse contenant le quart de cœur."
oot-heart-19,oot,coeur,19,Quart de cœur n°19,Village Cocorico,Les deux,Boomerang / course de Dampé,"Sur une plateforme mobile à l'intérieur du moulin. Accessible avec le Boomerang enfant, ou après la course contre le fantôme de Dampé adulte."
oot-heart-20,oot,coeur,20,Quart de cœur n°20,Cimetière,Adulte,Grappin,Battez le fantôme de Dampé dans sa course-poursuite en moins d'une minute pour recevoir le quart de cœur.
oot-heart-21,oot,coeur,21,Quart de cœur n°21,Village Cocorico,Adulte,Grappin,Utilisez le Grappin pour atteindre le toit de la boutique de potions et parlez à l'homme qui s'y trouve.
oot-heart-22,oot,coeur,22,Quart de cœur n°22,Village Cocorico,Les deux,50 Skulltulas d'Or,"Une fois 50 Skulltulas d'Or récoltées, entrez dans la Maison des Skulltulas pour réclamer votre récompense."
oot-heart-23,oot,coeur,23,Quart de cœur n°23,Lac Hylia,Les deux,Haricot Magique / Chant de l'Épouvantail,"Sur le toit du Laboratoire au bord du lac, accessible via un Haricot Magique ou le Chant de l'Épouvantail combiné au Grappin."
oot-heart-24,oot,coeur,24,Quart de cœur n°24,Lac Hylia,Adulte,Écaille Dorée,"Depuis le Laboratoire, plongez tout au fond du lac avec l'Écaille Dorée pour entendre le carillon secret, puis remontez parler au scientifique."
oot-heart-25,oot,coeur,25,Quart de cœur n°25,Plaine d'Hyrule,Les deux,Écaille Dorée / Bottes de Fer,"Près d'un arbre isolé au nord-ouest du Ranch Lon Lon (la Pierre d'Âme réagit). Posez une bombe pour révéler un trou, puis plongez profondément à l'intérieur."
oot-heart-26,oot,coeur,26,Quart de cœur n°26,Sentier de la Montagne du Péril,Les deux,Haricot Magique,"Plantez un Haricot Magique enfant dans la terre meuble à l'entrée de la Caverne de Dodongo, puis chevauchez-le adulte pour atteindre la corniche au-dessus de l'entrée."
oot-heart-27,oot,coeur,27,Quart de cœur n°27,Cratère Montagne du Péril,Adulte,"Chant du Boléro du Feu, Haricot Magique","Plantez un Haricot près du piédestal Triforce (enfant), puis chevauchez-le adulte jusqu'au sommet d'un des pics fumants du cratère."
oot-heart-28,oot,coeur,28,Quart de cœur n°28,Fontaine Zora,Adulte,Aucune,"Une fois le Temple de l'Eau terminé, sautez de bloc de glace en bloc de glace flottant sur la fontaine pour atteindre le quart de cœur."
oot-heart-29,oot,coeur,29,Quart de cœur n°29,Caverne de Glace,Adulte,Feu Bleu,"Dans la salle aux stalactites tombantes, récupérez du Feu Bleu et faites fondre la Glace Rouge qui emprisonne le quart de cœur."
oot-heart-30,oot,coeur,30,Quart de cœur n°30,Fontaine Zora,Adulte,Bottes de Fer,Enfilez les Bottes de Fer pour couler jusqu'au fond de la fontaine et récupérer le quart de cœur.
oot-heart-31,oot,coeur,31,Quart de cœur n°31,Rivière Zora,Enfant,Chant des Tempêtes,Montez sur le tronc qui dépasse au centre de la rivière et jouez le Chant des Tempêtes aux grenouilles rassemblées.
oot-heart-32,oot,coeur,32,Quart de cœur n°32,Rivière Zora,Enfant,Tous les chants (sauf téléportation),"Jouez Berceuse de Zelda, Chant de Saria, Chant d'Épona, Chant du Soleil et Chant du Temps aux grenouilles, puis réussissez leur mini-jeu de rythme façon Simon."
oot-heart-33,oot,coeur,33,Quart de cœur n°33,Marché,Enfant,Lentille de Vérité (nuit),"Au Jeu du Coffre au Trésor, choisissez entre deux coffres à chaque salle. La Lentille de Vérité permet de voir le contenu et de progresser sans erreur."
oot-heart-34,oot,coeur,34,Quart de cœur n°34,Forteresse Gerudo,Adulte,"Jeton Gerudo, Grappin",Grimpez au sommet de la forteresse puis utilisez le Grappin (ou le Chant de l'Épouvantail avec Pierre) pour atteindre le coffre sur le toit.
oot-heart-35,oot,coeur,35,Quart de cœur n°35,Champ de Tir à Cheval,Adulte,"Jeton Gerudo, Épona",Marquez plus de 1000 points au jeu de tir à l'arc à cheval pour recevoir le quart de cœur.
oot-heart-36,oot,coeur,36,Quart de cœur n°36,Colosse du Désert,Les deux,"Requiem de l'Esprit, Haricot Magique","Plantez un Haricot Magique près de l'entrée du Temple de l'Esprit (enfant), puis chevauchez-le adulte jusqu'à la plateforme finale en forme de menhirs."
