id,game,category,number,name,location,era,requirement,description
ww-heart-01,ww,coeur,1,Quart de cœur n°1,Forteresse Oubliée,N/A,Aucune,"Dans la cellule voisine de la vôtre, déplacez les tonneaux pour révéler un interrupteur qui ouvre la grille d'une cellule contenant un coffre."
ww-heart-02,ww,coeur,2,Quart de cœur n°2,Île Mercantîle,N/A,Aucune,Gagnez à cache-cache contre les Abeilles Tueuses ; Ivan vous récompense.
ww-heart-03,ww,coeur,3,Quart de cœur n°3,Île Mercantîle,N/A,10 rubis,Réussissez le mini-jeu « Navires en perdition » de Salvatore en moins de 24 tirs de canon.
ww-heart-04,ww,coeur,4,Quart de cœur n°4,Île de la Griffe,N/A,Aucune,"Rampez dans le dôme au centre de l'île, vainquez les Chuchus Rouges dans la grotte, puis ouvrez le coffre au bout du chemin."
ww-heart-05,ww,coeur,5,Quart de cœur n°5,Toute boîte aux lettres,N/A,Aucune,"Triez 25 lettres pour Baito au bureau de poste de l'Île de Vaisserang, postez sa lettre, puis récupérez la réponse de sa mère qui contient le quart de cœur."
ww-heart-06,ww,coeur,6,Quart de cœur n°6,Toute boîte aux lettres,N/A,Perle de Farore,"Après avoir terminé le Bois Interdit, une lettre du Chef Rito arrive dans n'importe quelle boîte aux lettres."
ww-heart-07,ww,coeur,7,Quart de cœur n°7,Îlots des Cinq Étoiles,N/A,Charte au trésor n°33,Utilisez la charte pour localiser le trésor englouti et remontez-le.
ww-heart-08,ww,coeur,8,Quart de cœur n°8,Îlots des Cinq Étoiles,N/A,Aucune,"Entrez dans le sous-marin au sud de l'îlot, vainquez les ennemis à l'intérieur et ouvrez le coffre."
ww-heart-09,ww,coeur,9,Quart de cœur n°9,Îles Anguleuses,N/A,Charte au trésor n°15,Utilisez la charte pour localiser le coffre englouti contenant le quart de cœur.
ww-heart-10,ww,coeur,10,Quart de cœur n°10,Îles Anguleuses,N/A,Aucune,"Sur la plus grande île, poussez et tirez les blocs pour grimper jusqu'au sommet et ouvrir le coffre."
ww-heart-11,ww,coeur,11,Quart de cœur n°11,Île de la Pierre Tombale,N/A,Poire Hyoi,Prenez le contrôle d'une mouette avec une Poire Hyoi et volez jusqu'au sommet de l'île pour attraper le quart de cœur.
ww-heart-12,ww,coeur,12,Quart de cœur n°12,Île du Contrefort en Diamant,N/A,Charte au trésor n°23,"Repérez la zone de lumière indiquée par la charte, puis remontez et ouvrez le coffre."
ww-heart-13,ww,coeur,13,Quart de cœur n°13,Îlot du Rocher-Aiguille,N/A,Poire Hyoi,"Contrôlez une mouette jusqu'au sommet pour activer un interrupteur, ce qui éteint les flammes protégeant un coffre en contrebas."
ww-heart-14,ww,coeur,14,Quart de cœur n°14,Île du Grand Poisson,N/A,Feuille Deku,"Grimpez au sommet de la petite île, réglez le vent puis planez au nord-ouest jusqu'à une corniche avec un coffre."
ww-heart-15,ww,coeur,15,Quart de cœur n°15,Récif aux Six Yeux,N/A,Aucune,"Montez à bord du sous-marin au sud-ouest, vainquez les trois Moblins à l'intérieur, puis grimpez l'échelle jusqu'au coffre."
ww-heart-16,ww,coeur,16,Quart de cœur n°16,Île Accalmie,N/A,Aucune,Relevez le défi d'Orca : le toucher 500 fois avec votre épée sans être touché trois fois.
ww-heart-17,ww,coeur,17,Quart de cœur n°17,Île du Veilleur de Pierre,N/A,Canon,"Détruisez les canons sous la plateforme de guet ennemie, grimpez et ouvrez le coffre qui apparaît."
ww-heart-18,ww,coeur,18,Quart de cœur n°18,Île de Tingle,N/A,Canon ou Boomerang,"Vainquez le Grand Octogonien au nord de l'île, puis utilisez le Grappin pour remonter le trésor qu'il laisse tomber."
ww-heart-19,ww,coeur,19,Quart de cœur n°19,Île du Spectacle,N/A,50 rubis,Jouez au mini-jeu de tir au canon installé par Salvatore et terminez-le avec succès.
ww-heart-20,ww,coeur,20,Quart de cœur n°20,Île Mercantîle,N/A,Beaucoup de rubis,Participez aux enchères nocturnes à l'Hôtel des Ventes jusqu'à remporter celle du quart de cœur.
ww-heart-21,ww,coeur,21,Quart de cœur n°21,Île Mercantîle,N/A,Boîte à Pictos Deluxe,"Prenez une photo en couleur de Linda, donnez-la à Anton, puis retrouvez Linda au café pour recevoir sa récompense."
ww-heart-22,ww,coeur,22,Quart de cœur n°22,Île du Croissant de Lune,N/A,Charte au trésor n°11,Utilisez la charte pour localiser puis remonter le trésor englouti.
ww-heart-23,ww,coeur,23,Quart de cœur n°23,Îlots des Sept Étoiles,N/A,Canon ou Boomerang,Vainquez le Grand Octogonien à 12 yeux qui garde cette zone.
